EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
E1001000,32.0,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,10.0,3,4,55.0,3,2,4,1.0,No,12.0,4,10.0,2.0,2,10.0,7.0,0.0,8.0,No,3
E1001006,47.0,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,14.0,4,4,42.0,3,2,1,2.0,No,12.0,4,20.0,2.0,3,7.0,7.0,1.0,7.0,No,3
E1001007,40.0,Male,Life Sciences,Married,Sales,Sales Executive,Travel_Frequently,5.0,4,4,48.0,2,3,1,5.0,Yes,21.0,3,20.0,2.0,3,18.0,13.0,1.0,12.0,No,4
E1001009,41.0,Male,Human Resources,Divorced,Human Resources,Manager,Travel_Rarely,10.0,4,2,73.0,2,5,4,3.0,No,15.0,2,23.0,2.0,2,21.0,6.0,12.0,6.0,No,3
E1001010,60.0,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,16.0,4,1,84.0,3,2,1,8.0,No,14.0,4,10.0,1.0,3,2.0,2.0,2.0,2.0,No,3
E1001011,27.0,Male,Life Sciences,Divorced,Development,Developer,Travel_Frequently,10.0,2,4,32.0,3,3,1,1.0,No,21.0,3,9.0,4.0,2,9.0,7.0,1.0,7.0,No,4
E1001016,50.0,Male,Marketing,Married,Sales,Sales Representative,Travel_Rarely,8.0,4,4,54.0,3,1,2,7.0,No,15.0,4,4.0,2.0,3,2.0,2.0,2.0,2.0,No,3
E1001019,28.0,Female,Life Sciences,Single,Development,Developer,Travel_Rarely,1.0,2,1,67.0,1,1,2,7.0,Yes,13.0,4,10.0,4.0,3,7.0,7.0,3.0,7.0,Yes,3
E1001020,36.0,Female,Life Sciences,Married,Development,Developer,Non-Travel,8.0,3,1,63.0,4,3,1,9.0,No,14.0,1,10.0,2.0,3,8.0,7.0,0.0,5.0,No,3
E1001021,38.0,Female,Life Sciences,Single,Development,Developer,Travel_Rarely,1.0,3,3,81.0,3,3,3,4.0,Yes,14.0,4,10.0,4.0,4,1.0,0.0,0.0,0.0,No,3
E1001022,44.0,Male,Medical,Single,Development,Developer,Non-Travel,24.0,3,1,49.0,1,1,3,2.0,No,14.0,3,9.0,5.0,3,5.0,2.0,1.0,4.0,No,3
E1001024,47.0,Female,Medical,Divorced,Sales,Sales Executive,Travel_Frequently,3.0,3,4,49.0,3,4,3,9.0,Yes,12.0,4,28.0,2.0,2,22.0,2.0,11.0,13.0,No,3
E1001025,30.0,Male,Marketing,Divorced,Sales,Sales Executive,Travel_Rarely,27.0,5,3,99.0,3,2,4,7.0,No,23.0,4,10.0,2.0,2,8.0,7.0,7.0,7.0,No,4
E1001027,29.0,Male,Life Sciences,Single,Sales,Sales Representative,Travel_Rarely,10.0,3,3,99.0,3,1,3,1.0,No,11.0,3,1.0,6.0,3,1.0,0.0,0.0,0.0,No,3
E1001030,42.0,Male,Medical,Divorced,Development,Developer,Travel_Frequently,19.0,3,3,57.0,4,1,3,6.0,Yes,12.0,4,7.0,2.0,3,2.0,2.0,2.0,2.0,Yes,3
E1001035,34.0,Female,Medical,Single,Development,Developer,Travel_Rarely,8.0,2,2,96.0,3,2,3,3.0,No,11.0,4,10.0,2.0,3,5.0,1.0,4.0,3.0,No,3
E1001038,39.0,Female,Human Resources,Married,Human Resources,Human Resources,Travel_Rarely,3.0,3,3,44.0,4,2,2,9.0,No,15.0,3,12.0,3.0,1,8.0,3.0,3.0,6.0,No,3
E1001040,56.0,Male,Medical,Married,Development,Developer,Travel_Rarely,9.0,3,3,81.0,3,4,4,7.0,No,11.0,3,30.0,1.0,2,10.0,7.0,1.0,1.0,No,3
E1001041,40.0,Female,Medical,Single,Development,Developer,Travel_Rarely,2.0,1,4,86.0,2,1,4,0.0,Yes,20.0,4,5.0,2.0,2,4.0,2.0,2.0,3.0,No,4
