Rank,Model,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,ROC-AUC,CV Mean,CV Std,Training Time (Sec),Prediction Time (Sec)
1,Gradient Boosting,0.925,0.8537,0.924,0.925,0.9234,0.9777,0.8777,0.0309,4.1225,0.013762
2,LightGBM,0.9292,0.8533,0.9291,0.9292,0.927,0.9764,0.8602,0.0267,7.1953,0.01005
3,CatBoost,0.9292,0.8514,0.9292,0.9292,0.9272,0.978,0.8668,0.0225,0.9753,0.010427
4,Decision Tree,0.9083,0.8504,0.9074,0.9083,0.9076,0.8833,0.8092,0.0374,0.0941,0.004939
5,XGBoost,0.9208,0.8385,0.9202,0.9208,0.9184,0.9703,0.8616,0.0301,0.812,0.013191
6,Random Forest,0.925,0.8319,0.9276,0.925,0.9221,0.9503,0.8182,0.0496,1.14,0.173604
7,AdaBoost,0.8333,0.7259,0.8285,0.8333,0.8297,0.8793,0.7591,0.05,1.0204,0.069705
8,Logistic Regression,0.8292,0.6799,0.8202,0.8292,0.82,0.8917,0.6774,0.0325,0.1386,0.004007
9,Support Vector Machine,0.8208,0.5907,0.8237,0.8208,0.7961,0.8839,0.4449,0.0323,0.3562,0.045001
10,Extra Trees,0.8167,0.5171,0.8535,0.8167,0.7659,0.902,0.5755,0.0352,0.6627,0.111354
